seq_id	tax_id	seq_family	seq_genus	seq_species	ref_seq_id	ref_tax_id	ref_seq_family	ref_seq_genus	ref_seq_species	edit_distance
CRHTA42497-22	TX0228	Cecidomyiidae	nan	nan	CRHYA6344-22	TX0266	Psychodidae	nan	nan	3
CRBLA15130-22	TX0228	Cecidomyiidae	nan	nan	CRCEB6811-22	TX0266	Psychodidae	nan	nan	1
CRBLA14824-22	TX0228	Cecidomyiidae	nan	nan	CRCEB6811-22	TX0266	Psychodidae	nan	nan	5
CRTRA5471-22	TX0228	Cecidomyiidae	nan	nan	CRTRA52657-22	TX0269	Sciaridae	nan	nan	1
CRCBB32965-23	TX0228	Cecidomyiidae	nan	nan	CRHYA5543-22	TX0266	Psychodidae	nan	nan	22
CRALA16542-21	TX0228	Cecidomyiidae	nan	nan	CRALB10124-21	TX0269	Sciaridae	nan	nan	4
CRCOA2215-21	TX0228	Cecidomyiidae	nan	nan	CRCOA902-21	TX0261	Dolichopodidae	nan	nan	4
CRCOA2215-21	TX0228	Cecidomyiidae	nan	nan	CRICB148-22	TX1160	Ephydridae	nan	nan	4
CRCOA2215-21	TX0228	Cecidomyiidae	nan	nan	CRCOA666-21	TX0261	Dolichopodidae	nan	nan	4
CRCOA2215-21	TX0228	Cecidomyiidae	nan	nan	CRICB10654-22	TX0287	Ceratopogonidae	nan	nan	4
CRTRA13835-22	TX0228	Cecidomyiidae	nan	nan	CRTRA38838-22	TX0287	Ceratopogonidae	nan	nan	4
GMGKA5766-21	TX0228	Cecidomyiidae	nan	nan	CGNPA076-22	TX38592	Mutillidae	Dasymutilla	nan	31
GMMGF1168-18	TX0228	Cecidomyiidae	nan	nan	CRALB32330-21	TX0287	Ceratopogonidae	nan	nan	32
CRCEB14789-22	TX0228	Cecidomyiidae	nan	nan	CRCEC18398-22	TX0266	Psychodidae	nan	nan	0
CRCBB38858-23	TX0228	Cecidomyiidae	nan	nan	CRCEC47040-22	TX0266	Psychodidae	nan	nan	5
GMARB1359-14	TX0228	Cecidomyiidae	nan	nan	ONTA32992-23	TX0232	Chironomidae	nan	nan	28
GMARB1359-14	TX0228	Cecidomyiidae	nan	nan	GMMGS865-18	TX1153	Phalacridae	nan	nan	30
CRSIA17298-22	TX0228	Cecidomyiidae	nan	nan	PHAUG254-11	TX0269	Sciaridae	nan	nan	29
TSMTA41661-22	TX0228	Cecidomyiidae	nan	nan	SSEIB2144-13	TX0930	Hybotidae	nan	nan	27
CRCBB8828-23	TX0228	Cecidomyiidae	nan	nan	CRATA24669-22	TX0261	Dolichopodidae	nan	nan	29
SSEIB2144-13	TX0930	Hybotidae	nan	nan	OPPOC1380-17	TX0228	Cecidomyiidae	nan	nan	0
SSEIB2144-13	TX0930	Hybotidae	nan	nan	GMGSL135-13	TX0228	Cecidomyiidae	nan	nan	1
SSEIB2144-13	TX0930	Hybotidae	nan	nan	CRSIA45063-22	TX0228	Cecidomyiidae	nan	nan	26
SSEIB2144-13	TX0930	Hybotidae	nan	nan	CRCBB3352-23	TX0228	Cecidomyiidae	nan	nan	28
SSEIB2144-13	TX0930	Hybotidae	nan	nan	CRATA46995-22	TX0228	Cecidomyiidae	nan	nan	27
SSEIB2144-13	TX0930	Hybotidae	nan	nan	GMARR737-14	TX0228	Cecidomyiidae	nan	nan	27
SSEIB2144-13	TX0930	Hybotidae	nan	nan	CRCBB38184-23	TX0228	Cecidomyiidae	nan	nan	28
SSEIB2144-13	TX0930	Hybotidae	nan	nan	THAMD17108-22	TX0228	Cecidomyiidae	nan	nan	28
SSEIB2144-13	TX0930	Hybotidae	nan	nan	ONTA14522-23	TX0228	Cecidomyiidae	nan	nan	28
SSEIB2144-13	TX0930	Hybotidae	nan	nan	CRCCB16457-23	TX0228	Cecidomyiidae	nan	nan	30
SSEIB2144-13	TX0930	Hybotidae	nan	nan	GMARR746-14	TX0228	Cecidomyiidae	nan	nan	29
SSEIB2144-13	TX0930	Hybotidae	nan	nan	THAMB6387-22	TX0228	Cecidomyiidae	nan	nan	29
SSEIB2144-13	TX0930	Hybotidae	nan	nan	MDOFA009-08	TX0228	Cecidomyiidae	nan	nan	29
SSEIB2144-13	TX0930	Hybotidae	nan	nan	CRATA20504-22	TX0228	Cecidomyiidae	nan	nan	31
SSEIB2144-13	TX0930	Hybotidae	nan	nan	CRBOE2746-23	TX0228	Cecidomyiidae	nan	nan	30
SSEIB2144-13	TX0930	Hybotidae	nan	nan	CRATB7071-22	TX0228	Cecidomyiidae	nan	nan	30
SSEIB2144-13	TX0930	Hybotidae	nan	nan	CRBOE16877-23	TX0228	Cecidomyiidae	nan	nan	32
SSEIB2144-13	TX0930	Hybotidae	nan	nan	GMARX20754-23	TX0228	Cecidomyiidae	nan	nan	32
SSEIB2144-13	TX0930	Hybotidae	nan	nan	GMMVA12867-21	TX0228	Cecidomyiidae	nan	nan	32
CRSIA46951-22	TX0228	Cecidomyiidae	nan	nan	CRSIB5362-22	TX0926	Lauxaniidae	nan	nan	5
CEFIN6847-21	TX0228	Cecidomyiidae	nan	nan	FTUNE330-22	TX41095	Cecidomyiidae	Iteomyia	nan	0
CRTOC1996-22	TX0228	Cecidomyiidae	nan	nan	CRTOA32569-21	TX0290	Mycetophilidae	nan	nan	0
CRTOC1996-22	TX0228	Cecidomyiidae	nan	nan	PLEDA3304-20	TX0275	Sphaeroceridae	nan	nan	28
CRCBA49128-23	TX0228	Cecidomyiidae	nan	nan	CRCEC40214-22	TX1138	Platygastridae	nan	nan	6
CRCBB30877-23	TX0228	Cecidomyiidae	nan	nan	CRCEC43460-22	TX0269	Sciaridae	nan	nan	30
PLEDA2514-20	TX0228	Cecidomyiidae	nan	nan	CRALA21821-21	TX0930	Hybotidae	nan	nan	32
CRKAS30715-23	TX0228	Cecidomyiidae	nan	nan	CRCEC8097-22	TX0269	Sciaridae	nan	nan	30
SALVA5733-23	TX0228	Cecidomyiidae	nan	nan	OPPZG217-17	TX0290	Mycetophilidae	nan	nan	31
CROAE11092-23	TX0228	Cecidomyiidae	nan	nan	CRPEA37825-21	TX0290	Mycetophilidae	nan	nan	25
THAMD8814-22	TX0228	Cecidomyiidae	nan	nan	OPPZG217-17	TX0290	Mycetophilidae	nan	nan	25
CRCEC38896-22	TX0228	Cecidomyiidae	nan	nan	ONTA19955-23	TX0269	Sciaridae	nan	nan	1
CRCEC38896-22	TX0228	Cecidomyiidae	nan	nan	CRCEC47959-22	TX0269	Sciaridae	nan	nan	4
CRKAS1792-23	TX0228	Cecidomyiidae	nan	nan	CRCEC48799-22	TX0286	Scelionidae	nan	nan	30
CRCEC42241-22	TX0228	Cecidomyiidae	nan	nan	CRCEC44162-22	TX0269	Sciaridae	nan	nan	4
CRCEC42241-22	TX0228	Cecidomyiidae	nan	nan	CRCEB6811-22	TX0266	Psychodidae	nan	nan	28
GMSAU768-13	TX0228	Cecidomyiidae	nan	nan	OPPFO2978-17	TX1218	Tachinidae	nan	nan	28
CEFIN940-21	TX0228	Cecidomyiidae	nan	nan	GMARX31665-23	TX0269	Sciaridae	nan	nan	30
CRALA18902-21	TX0228	Cecidomyiidae	nan	nan	CRALB32330-21	TX0287	Ceratopogonidae	nan	nan	7
CRALA138-21	TX0228	Cecidomyiidae	nan	nan	CRALB10124-21	TX0269	Sciaridae	nan	nan	4
CRALB25744-21	TX0228	Cecidomyiidae	nan	nan	CRALB26568-21	TX0926	Lauxaniidae	nan	nan	3
PLLBW1057-20	TX0228	Cecidomyiidae	nan	nan	CRCBB34892-23	TX0269	Sciaridae	nan	nan	31
CRCBB20484-23	TX0228	Cecidomyiidae	nan	nan	ONTA32992-23	TX0232	Chironomidae	nan	nan	28
CRCEC47899-22	TX0228	Cecidomyiidae	nan	nan	CRCEC47040-22	TX0266	Psychodidae	nan	nan	6
CRCBB38218-23	TX0228	Cecidomyiidae	nan	nan	ONTA15709-23	TX0232	Chironomidae	nan	nan	31
CRCBB38218-23	TX0228	Cecidomyiidae	nan	nan	CRCEC39376-22	TX0232	Chironomidae	nan	nan	31
CRALA35605-21	TX0228	Cecidomyiidae	nan	nan	CRALB26568-21	TX0926	Lauxaniidae	nan	nan	4
CRALA23846-21	TX0228	Cecidomyiidae	nan	nan	CRALB34855-21	TX0269	Sciaridae	nan	nan	0
CRICA4746-22	TX0228	Cecidomyiidae	nan	nan	CRCOA902-21	TX0261	Dolichopodidae	nan	nan	0
CRICA4746-22	TX0228	Cecidomyiidae	nan	nan	CRCOA666-21	TX0261	Dolichopodidae	nan	nan	4
CRICA4746-22	TX0228	Cecidomyiidae	nan	nan	CRICB148-22	TX1160	Ephydridae	nan	nan	4
CRICA4746-22	TX0228	Cecidomyiidae	nan	nan	CRICB10654-22	TX0287	Ceratopogonidae	nan	nan	4
CRKAS051-23	TX0228	Cecidomyiidae	nan	nan	CRCBC14021-23	TX0269	Sciaridae	nan	nan	33
CRCEC39749-22	TX0228	Cecidomyiidae	nan	nan	CRCEC42091-22	TX0269	Sciaridae	nan	nan	28
CRKAS3895-23	TX0228	Cecidomyiidae	nan	nan	CRCEC40136-22	TX1207	Phengodidae	nan	nan	25
GMARX17328-23	TX0228	Cecidomyiidae	nan	nan	GMARX31665-23	TX0269	Sciaridae	nan	nan	10
GMARX17328-23	TX0228	Cecidomyiidae	nan	nan	CRSIB5362-22	TX0926	Lauxaniidae	nan	nan	31
CRTRA41197-22	TX0228	Cecidomyiidae	nan	nan	CRTRA38838-22	TX0287	Ceratopogonidae	nan	nan	5
CRBOE11135-23	TX0228	Cecidomyiidae	nan	nan	ONTA26572-23	TX0269	Sciaridae	nan	nan	29
